2	1	1
13	1	1
24	1	1
35	1	1
46	1	1
57	1	1
62	1	1
63	1	1
64	1	1
65	1	1
66	1	1
67	1	1
68	1	1
69	1	1
70	1	1
71	1	1
72	1	1
78	1	1
89	1	1
100	1	1
111	1	1
122	1	1
133	1	1
144	1	1
1	2	1
79	2	1
105	2	1
114	2	1
13	3	1
24	3	1
35	3	1
46	3	1
68	3	1
69	3	1
70	3	1
71	3	1
72	3	1
122	3	1
13	4	1
24	4	1
35	4	1
46	4	1
68	4	1
69	4	1
70	4	1
71	4	1
72	4	1
122	4	1
13	5	1
24	5	1
35	5	1
46	5	1
68	5	1
69	5	1
70	5	1
71	5	1
72	5	1
122	5	1
27	6	1
67	6	1
68	6	1
69	6	1
70	6	1
71	6	1
72	6	1
122	6	1
35	7	1
46	7	1
68	7	1
69	7	1
70	7	1
72	7	1
64	8	1
13	9	1
24	9	1
13	10	1
24	10	1
35	10	1
46	10	1
35	11	1
46	11	1
13	12	1
24	12	1
1	13	1
3	13	1
4	13	1
5	13	1
9	13	1
10	13	1
12	13	1
15	13	1
18	13	1
19	13	1
20	13	1
25	13	1
31	13	1
34	13	1
38	13	1
42	13	1
44	13	1
45	13	1
47	13	1
48	13	1
51	13	1
52	13	1
53	13	1
54	13	1
68	13	1
69	13	1
70	13	1
71	13	1
72	13	1
74	13	1
75	13	1
92	13	1
117	13	1
152	13	1
153	13	1
154	13	1
35	14	1
46	14	1
68	14	1
69	14	1
70	14	1
13	15	1
24	15	1
122	16	1
133	16	1
133	17	1
13	18	1
24	18	1
35	18	1
46	18	1
64	18	1
122	18	1
13	19	1
24	19	1
35	19	1
46	19	1
13	20	1
24	20	1
122	21	1
35	22	1
46	22	1
35	23	1
46	23	1
122	23	1
1	24	1
3	24	1
4	24	1
5	24	1
9	24	1
10	24	1
12	24	1
15	24	1
18	24	1
19	24	1
20	24	1
25	24	1
31	24	1
34	24	1
38	24	1
42	24	1
44	24	1
45	24	1
47	24	1
48	24	1
51	24	1
52	24	1
53	24	1
54	24	1
68	24	1
69	24	1
70	24	1
71	24	1
72	24	1
152	24	1
153	24	1
154	24	1
13	25	1
24	25	1
35	25	1
46	25	1
68	25	1
69	25	1
70	25	1
122	25	1
133	26	1
6	27	1
133	28	1
35	29	1
46	29	1
64	29	1
68	29	1
69	29	1
70	29	1
71	29	1
72	29	1
35	30	1
46	30	1
64	30	1
68	30	1
69	30	1
70	30	1
72	30	1
13	31	1
24	31	1
122	32	1
133	33	1
13	34	1
24	34	1
35	34	1
46	34	1
65	34	1
66	34	1
149	34	1
1	35	1
3	35	1
4	35	1
5	35	1
7	35	1
10	35	1
11	35	1
14	35	1
18	35	1
19	35	1
22	35	1
23	35	1
25	35	1
